,red_card_continent,age,nation,league,team,goals_selection,selections_nation,position,price,goal_champ,assist_champ,own_goal_champ,yellow_card_champ,second_yellow_card_champ,red_card_champ,goal_cup,assist_cup,own_goal_cup,yellow_card_cup,second_yellow_card_cup,red_card_cup,goal_continent,assist_continent,own_goal_continent,yellow_card_continent,second_yellow_card_continent
2004,0.0,29,Slovakia,FortunaLiga,ViktoriaPlzen,1,3,LeftWinger,425000.0,52.0,14.0,0.0,30.0,1.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3298,2.0,19,Turkey,SüperLig,Galatasaray,0,5,Goalkeeper,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2685,0.0,21,Denmark,PremierLiga,DynamoKyiv,0,0,LeftWinger,4000000.0,23.0,15.0,0.0,12.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3592,0.0,25,Russia,PremierLiga,Orenburg,1,7,RightWinger,1500000.0,29.0,16.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12115,0.0,25,Brazil,ProfessionalLeague,Al0Hazm,0,0,AttackingMidfield,300000.0,5.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10564,0.0,33,Fiji,PremierLeague,TavuaFC,0,0,Midfielder,50000.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9207,2.0,34,Paraguay,PrimeraDivisión,CARosario,1,31,CentralMidfield,500000.0,27.0,9.0,0.0,65.0,3.0,4.0,3.0,1.0,0.0,6.0,0.0,0.0,6.0,2.0,0.0,14.0,0.0
11601,0.0,25,Qatar,StarsLeague,QatarSC,0,0,Defender,75000.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5103,0.0,24,Algeria,LigueProfessionnelle1,MOBéjaïa,0,3,RightWinger,225000.0,3.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11438,0.0,22,Iran,PersianGulfProLeague,Sepahan,0,0,CentralMidfield,400000.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3901,0.0,28,Brazil,LigaNOS,Boavista,0,0,AttackingMidfield,500000.0,11.0,9.0,0.0,29.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10630,0.0,24,Fiji,PremierLeague,SuvaFA,5,13,Forward,50000.0,8.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4381,0.0,23,Uruguay,LaLiga,Getafe,3,18,CentralMidfield,10000000.0,2.0,7.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3528,0.0,32,Sweden,SuperLeague,PAOKSalonika,2,51,CentralMidfield,3500000.0,51.0,39.0,1.0,122.0,2.0,1.0,5.0,1.0,0.0,4.0,0.0,1.0,6.0,2.0,0.0,19.0,1.0
12334,0.0,32,Algeria,ProfessionalLeague,Al0Raed,0,11,Goalkeeper,600000.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
11933,0.0,21,Thailand,ThaiLeague,BuriramUtd.,0,0,LeftWinger,25000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2635,0.0,27,Ukraine,PremierLiga,Vorskla,0,0,CentralMidfield,700000.0,5.0,5.0,0.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
10771,0.0,20,Indonesia,Liga1,Persela,0,0,LeftWinger,75000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12041,0.0,26,UnitedArabEmirates,UAEGulfLeague,Al0Wasl,0,0,Midfielder,50000.0,9.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11317,0.0,25,Iran,PersianGulfProLeague,SanatNaft,7,12,RightWinger,200000.0,11.0,3.0,0.0,14.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7886,0.0,24,Uruguay,PrimeraDivisión,Defensor,0,6,Goalkeeper,100000.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0
7184,0.0,23,Argentina,AscensoMXClausura,SanLuis,0,0,LeftWinger,200000.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4163,0.0,28,Netherlands,Eredivisie,VVV0Venlo,0,0,AttackingMidfield,500000.0,61.0,29.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4106,0.0,21,Netherlands,Eredivisie,HeraclesAlmelo,0,0,AttackingMidfield,75000.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7114,0.0,28,Argentina,AscensoMXClausura,Cafetaleros,0,0,Goalkeeper,450000.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
2117,0.0,26,Croatia,Liga1,DinamoBukarest,0,0,LeftWinger,500000.0,20.0,17.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3793,0.0,30,Israel,SuperLeague,Olympiacos,1,54,CentralMidfield,3000000.0,56.0,56.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,10.0,18.0,0.0,12.0,0.0
4202,0.0,21,Netherlands,Eredivisie,AZAlkmaar,0,7,Goalkeeper,400000.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1717,0.0,23,Sweden,Allsvenskan,ÖrebroSK,0,0,Goalkeeper,150000.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
768,0.0,31,Spain,FirstDivision,AEKLarnaca,0,0,CentralMidfield,500000.0,10.0,18.0,0.0,54.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2055,0.0,19,Romania,Liga1,FCViitorul,0,0,AttackingMidfield,450000.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
941,0.0,28,France,Ligue1,Saint0Étienne,1,22,DefensiveMidfield,8000000.0,6.0,17.0,0.0,29.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0
3776,0.0,23,Russia,PremierLiga,CSKAMoscow,0,1,LeftMidfield,1200000.0,3.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,2.0,0.0
9951,0.0,28,Uzbekistan,Superliga,AGMGOlmaliq,0,0,LeftMidfield,100000.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,19,Portugal,PremierLeague,Watford,1,9,CentralMidfield,2000000.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6039,0.0,21,Tunisia,LigueIPro,StadeTunisien,0,0,CentralMidfield,100000.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5609,0.0,36,Iran,AzadeganLeague,ShTabriz,0,0,CentralMidfield,50000.0,4.0,6.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11937,0.0,18,Thailand,ThaiLeague,BuriramUtd.,0,0,CentralMidfield,25000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6099,0.0,25,Morocco,BotolaPro,Mouloudia,0,5,DefensiveMidfield,400000.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1543,0.0,23,Poland,Ekstraklasa,ArkaGdynia,0,0,RightWinger,250000.0,18.0,9.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7576,0.0,21,Cameroon,USLC,LAGalaxyII,0,0,DefensiveMidfield,150000.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4892,3.0,39,CzechRepublic,Bundesliga,F.Düsseldorf,0,7,Goalkeeper,100000.0,0.0,0.0,0.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0
12589,0.0,20,Japan,J1League,GambaOsaka,0,3,CentralMidfield,250000.0,3.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9026,0.0,31,Argentina,PrimeraDivisión,SanMartín,0,0,AttackingMidfield,275000.0,9.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11133,0.0,19,NewZealand,NewZealandPremiership,EasternSub.,0,0,Defender,200000.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6100,0.0,25,Morocco,BotolaPro,Mouloudia,0,0,Defender,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10343,0.0,29,Serbia,Superliga,LokoTashkent,0,0,CentralMidfield,350000.0,14.0,5.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745,0.0,26,Sweden,Allsvenskan,Norrköping,2,3,CentralMidfield,1200000.0,26.0,17.0,0.0,20.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5650,0.0,31,Egypt,PremierLeague,ElMakasa,0,4,RightWinger,300000.0,42.0,23.0,0.0,22.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6058,0.0,25,Tunisia,LigueIPro,CSHammam0Lif,0,0,Goalkeeper,150000.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
9030,0.0,22,Argentina,PrimeraDivisión,SanMartín,0,0,CentralMidfield,300000.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5341,0.0,22,Japan,J2League,FCGifu,0,0,AttackingMidfield,150000.0,3.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,27.0,32,France,PremierLeague,Spurs,0,108,Goalkeeper,30000000.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,2.0,94.0
10081,0.0,34,Japan,J2League,KyotoSanga,0,0,Goalkeeper,150000.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0
11244,0.0,28,Iran,PersianGulfProLeague,NaftM.I.SF.C.,0,0,RightWinger,75000.0,18.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11517,0.0,23,Qatar,StarsLeague,AlRayyan,0,1,Midfielder,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9556,0.0,25,Australia,A0League,CentralCoast,0,1,LeftWinger,350000.0,11.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12455,0.0,25,Japan,J1League,H.C.Sapporo,0,0,LeftMidfield,750000.0,13.0,11.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9488,0.0,23,Brazil,SérieA,Atlético0MG,0,0,DefensiveMidfield,500000.0,2.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3069,0.0,25,Belgium,JupilerProLeague,RSCCharleroi,0,12,RightWinger,1500000.0,36.0,34.0,0.0,8.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0
4353,0.0,26,Spain,LaLiga,RayoVallecano,0,0,LeftWinger,5000000.0,29.0,14.0,0.0,22.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9730,0.0,36,Australia,A0League,BrisbaneRoar,2,59,CentralMidfield,450000.0,19.0,13.0,0.0,31.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
10625,0.0,21,Fiji,PremierLeague,SuvaFA,0,3,Forward,25000.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4253,0.0,20,Norway,Eredivisie,Heerenveen,0,9,LeftWinger,1000000.0,21.0,14.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5585,0.0,33,Portugal,V.League1,HCMCity,0,0,AttackingMidfield,200000.0,14.0,6.0,0.0,51.0,4.0,2.0,4.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7290,0.0,23,Argentina,PrimeraBNacional,LosAndes,0,0,LeftMidfield,250000.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2164,0.0,20,Serbia,SuperLiga,Vozdovac,0,1,Goalkeeper,400000.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9308,0.0,26,Brazil,SérieA,ECBahia,0,0,AttackingMidfield,1250000.0,19.0,15.0,0.0,13.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10878,0.0,24,Indonesia,Liga1,Persipura,0,0,Forward,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11230,0.0,22,Hongkong,HongKongPL,YuenLong,0,0,Goalkeeper,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10123,0.0,27,NewZealand,J2League,FCGifu,0,1,LeftWinger,350000.0,80.0,45.0,0.0,11.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5986,0.0,20,Egypt,PremierLeague,Enppi,0,1,DefensiveMidfield,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,0.0,30,England,PremierLeague,Liverpool,3,34,AttackingMidfield,15000000.0,65.0,60.0,0.0,25.0,0.0,1.0,12.0,7.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0
6787,0.0,25,CostaRica,PrimeraDiv.Clausura,Cartaginés,0,0,CentralMidfield,175000.0,3.0,4.0,0.0,23.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8533,0.0,30,Albania,MLS,Colorado,1,16,LeftWinger,750000.0,116.0,33.0,0.0,63.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
5205,0.0,21,Tunisia,LigueIPro,USBenGuerdane,0,0,DefensiveMidfield,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3646,0.0,22,Russia,PremierLiga,AkhmatGrozny,0,0,Goalkeeper,150000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9565,0.0,23,Japan,KLeague2,AnsanGreeners,0,0,SecondStriker,100000.0,5.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10400,0.0,29,China,LeagueOne,BJEnterprises,0,0,Goalkeeper,75000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
5571,0.0,29,Vietnam,V.League1,ThanhHoa,11,43,RightMidfield,100000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
9402,0.0,29,Brazil,SérieA,Corinthians,0,0,CentralMidfield,1500000.0,13.0,12.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10233,0.0,22,Japan,J2League,Reno.Yamaguchi,0,0,SecondStriker,300000.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7157,0.0,24,Colombia,AscensoMXClausura,Celaya,0,0,CentralMidfield,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10848,0.0,24,Indonesia,Liga1,PSIS,0,0,CentralMidfield,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1519,0.0,22,Poland,Ekstraklasa,CracoviaKraków,0,0,CentralMidfield,100000.0,4.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2323,0.0,35,Serbia,SuperLiga,RadnickiNis,0,0,Goalkeeper,100000.0,0.0,0.0,0.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2194,0.0,25,Serbia,SuperLiga,Zemun,0,0,DefensiveMidfield,400000.0,4.0,2.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2963,0.0,28,Greece,SuperLeague,APOLevadiakos,0,10,DefensiveMidfield,400000.0,9.0,3.0,0.0,54.0,0.0,0.0,2.0,3.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9018,0.0,34,Argentina,PrimeraDivisión,SanMartín(T),0,2,CentralMidfield,500000.0,35.0,40.0,0.0,68.0,2.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,10.0,0.0,7.0,0.0
4713,1.0,32,Italy,SerieA,Sassuolo,0,0,Goalkeeper,5000000.0,0.0,0.0,2.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0
12531,0.0,29,SaudiArabia,ProfessionalLeague,Hilal,3,42,CentralMidfield,1800000.0,16.0,16.0,0.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,13.0,1.0
4313,0.0,26,Italy,SerieA,Frosinone,2,18,DefensiveMidfield,3000000.0,41.0,19.0,0.0,58.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
