,price,yellow_card_champ,yellow_card_cup,goal_continent,assist_continent,yellow_card_continent,score_goal_cup,score_goal_champ,score_goals_selection,score_assist_cup,score_assist_champ,score_selections_nation
3528,3500000.0,122.0,4.0,6.0,2.0,19.0,5.0,51.0,2.0,1.0,39.0,51.0
12334,600000.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
11933,25000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2635,700000.0,71.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,5.0,0.0
10771,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
12041,50000.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0
11317,200000.0,14.0,2.0,0.0,0.0,1.0,1.0,11.0,7.0,1.0,3.0,12.0
7886,100000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7184,200000.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
4163,500000.0,12.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,1.0,29.0,0.0
4106,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
7114,450000.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2117,500000.0,16.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,17.0,0.0
3793,3000000.0,23.0,3.0,10.0,18.0,12.0,0.0,56.0,1.0,2.0,56.0,54.0
4202,400000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
1717,150000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
768,500000.0,54.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,18.0,0.0
2055,450000.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0
941,8000000.0,29.0,3.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,17.0,22.0
3776,1200000.0,6.0,0.0,3.0,5.0,2.0,0.0,3.0,0.0,0.0,5.0,1.0
9951,100000.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
127,2000000.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,9.0
6039,100000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5609,50000.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0
11937,25000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6099,400000.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,5.0
1543,250000.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,9.0,0.0
7576,150000.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4892,100000.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
12589,250000.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0
9026,275000.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0
11133,200000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6100,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10343,350000.0,27.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,5.0,0.0
1745,1200000.0,20.0,0.0,0.0,0.0,0.0,2.0,26.0,2.0,1.0,17.0,3.0
5650,300000.0,22.0,3.0,0.0,0.0,0.0,1.0,42.0,0.0,3.0,23.0,4.0
6058,150000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9030,300000.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5341,150000.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0
257,30000000.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,108.0
10081,150000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11244,75000.0,8.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0
11517,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9556,350000.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,9.0,1.0
12455,750000.0,7.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,11.0,0.0
9488,500000.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
3069,1500000.0,8.0,0.0,4.0,2.0,3.0,6.0,36.0,0.0,4.0,34.0,12.0
4353,5000000.0,22.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,1.0,14.0,0.0
9730,450000.0,31.0,0.0,0.0,1.0,1.0,0.0,19.0,2.0,0.0,13.0,59.0
10625,25000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4253,1000000.0,3.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,14.0,9.0
5585,200000.0,51.0,11.0,0.0,0.0,0.0,4.0,14.0,0.0,2.0,6.0,0.0
7290,250000.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0
2164,400000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9308,1250000.0,13.0,2.0,0.0,0.0,0.0,1.0,19.0,0.0,2.0,15.0,0.0
10878,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11230,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10123,350000.0,11.0,0.0,0.0,0.0,0.0,3.0,80.0,0.0,4.0,45.0,1.0
5986,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
290,15000000.0,25.0,2.0,3.0,1.0,2.0,12.0,65.0,3.0,7.0,60.0,34.0
6787,175000.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
8533,750000.0,63.0,1.0,1.0,0.0,3.0,1.0,116.0,1.0,0.0,33.0,16.0
5205,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3646,150000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9565,100000.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0
10400,75000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5571,100000.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,43.0
9402,1500000.0,32.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,12.0,0.0
10233,300000.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0
7157,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10848,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1519,100000.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0
2323,100000.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2194,400000.0,38.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0
2963,400000.0,54.0,7.0,0.0,0.0,0.0,2.0,9.0,0.0,3.0,3.0,10.0
9018,500000.0,68.0,6.0,3.0,10.0,7.0,3.0,35.0,0.0,0.0,40.0,2.0
4713,5000000.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12531,1800000.0,20.0,1.0,2.0,1.0,13.0,1.0,16.0,3.0,1.0,16.0,42.0
4313,3000000.0,58.0,1.0,0.0,0.0,1.0,1.0,41.0,2.0,0.0,19.0,18.0
9367,500000.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0
3663,1500000.0,14.0,0.0,0.0,0.0,0.0,5.0,49.0,0.0,3.0,34.0,7.0
3812,250000.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0
8098,1000000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
12251,175000.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,5.0
5067,700000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
10469,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0
1407,800000.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,1.0,3.0,24.0,3.0
6362,250000.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
8210,4500000.0,17.0,0.0,2.0,0.0,3.0,0.0,29.0,1.0,0.0,13.0,5.0
10978,150000.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
7003,300000.0,1.0,10.0,0.0,0.0,0.0,16.0,3.0,0.0,14.0,0.0,2.0
6055,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5116,350000.0,16.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,11.0,0.0
9766,75000.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0
9693,100000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3295,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
1165,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,350000.0,12.0,0.0,1.0,1.0,2.0,0.0,19.0,0.0,0.0,21.0,6.0
9445,1500000.0,47.0,4.0,6.0,10.0,9.0,6.0,70.0,2.0,1.0,48.0,27.0
2787,175000.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12632,750000.0,35.0,6.0,0.0,1.0,0.0,16.0,36.0,1.0,13.0,50.0,8.0
6985,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11857,900000.0,16.0,0.0,6.0,10.0,0.0,3.0,79.0,19.0,2.0,57.0,84.0
5404,300000.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0
4123,700000.0,37.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,22.0,0.0
10246,150000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4947,25000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8464,300000.0,8.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,7.0,2.0
6653,500000.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0
10462,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
3024,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
11157,25000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6691,650000.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,9.0,1.0
9768,125000.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7029,50000.0,4.0,9.0,0.0,0.0,0.0,9.0,1.0,0.0,22.0,5.0,0.0
4525,10000000.0,10.0,0.0,6.0,0.0,0.0,5.0,33.0,1.0,0.0,26.0,21.0
1667,250000.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2425,1500000.0,51.0,0.0,5.0,9.0,6.0,0.0,72.0,3.0,0.0,56.0,14.0
3223,1000000.0,55.0,1.0,0.0,0.0,1.0,4.0,67.0,4.0,1.0,28.0,42.0
3686,800000.0,50.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,35.0,0.0
6280,300000.0,25.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,12.0,9.0
582,7500000.0,15.0,0.0,1.0,1.0,1.0,0.0,67.0,1.0,0.0,43.0,24.0
6125,200000.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,2.0
6255,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,150000.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
1839,150000.0,48.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0
3540,350000.0,23.0,2.0,1.0,1.0,0.0,5.0,21.0,0.0,2.0,16.0,0.0
2447,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9399,1500000.0,61.0,1.0,23.0,19.0,7.0,5.0,88.0,1.0,1.0,88.0,9.0
5740,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,5.0
499,500000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4674,13000000.0,14.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,6.0,10.0
5197,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10776,100000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5168,500000.0,36.0,0.0,0.0,0.0,0.0,4.0,78.0,23.0,4.0,39.0,72.0
6309,225000.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
11376,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3411,9000000.0,53.0,2.0,7.0,5.0,9.0,7.0,82.0,14.0,4.0,35.0,77.0
11606,1500000.0,19.0,0.0,4.0,4.0,4.0,0.0,49.0,26.0,0.0,23.0,117.0
4053,3000000.0,41.0,3.0,4.0,0.0,6.0,2.0,26.0,0.0,4.0,45.0,0.0
11559,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7415,250000.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,0.0
10864,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1883,300000.0,27.0,1.0,0.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0
4438,500000.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6007,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10849,175000.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
2483,100000.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
205,5000000.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5534,25000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2947,500000.0,30.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,2.0
5016,75000.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10532,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2889,500000.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
5939,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5312,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9318,300000.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0
9489,700000.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2276,800000.0,24.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,9.0,0.0
2990,450000.0,8.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,21.0,14.0
9907,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4532,10000000.0,49.0,8.0,0.0,0.0,0.0,4.0,19.0,1.0,2.0,10.0,20.0
11123,100000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1129,50000.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7490,175000.0,11.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0
2546,50000.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
12590,75000.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0
6931,100000.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3238,1200000.0,71.0,5.0,0.0,0.0,0.0,12.0,70.0,0.0,4.0,31.0,4.0
1375,75000.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
661,200000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92,7000000.0,68.0,7.0,1.0,6.0,8.0,8.0,28.0,2.0,7.0,58.0,52.0
6321,1000000.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
9956,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10083,150000.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
11810,1200000.0,36.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,9.0,41.0
168,100000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5941,1900000.0,8.0,0.0,9.0,1.0,1.0,5.0,32.0,18.0,0.0,13.0,38.0
5194,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5383,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6566,325000.0,11.0,2.0,0.0,0.0,0.0,3.0,22.0,0.0,1.0,8.0,1.0
10561,50000.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11712,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,500000.0,11.0,1.0,4.0,0.0,2.0,1.0,7.0,0.0,1.0,5.0,0.0
2869,1500000.0,21.0,2.0,0.0,1.0,2.0,1.0,26.0,0.0,2.0,28.0,0.0
9106,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10366,100000.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0
11737,125000.0,24.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,4.0,0.0
8397,200000.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
5647,750000.0,15.0,0.0,1.0,1.0,3.0,0.0,7.0,1.0,0.0,10.0,15.0
5657,75000.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2153,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4338,400000.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
6092,600000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7734,150000.0,31.0,2.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,6.0,0.0
2488,1250000.0,37.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,18.0,1.0
11285,7000000.0,18.0,2.0,1.0,0.0,0.0,4.0,31.0,0.0,1.0,18.0,0.0
11173,50000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10562,50000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12268,100000.0,22.0,4.0,1.0,0.0,4.0,6.0,19.0,1.0,1.0,43.0,4.0
12633,3000000.0,13.0,0.0,4.0,0.0,1.0,4.0,46.0,5.0,7.0,51.0,43.0
8003,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12113,1000000.0,23.0,0.0,1.0,0.0,2.0,1.0,23.0,0.0,2.0,29.0,0.0
6088,200000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3548,500000.0,16.0,0.0,1.0,1.0,2.0,0.0,14.0,0.0,0.0,4.0,5.0
2401,250000.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,25.0,7.0
69,400000.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,10.0
8569,1000000.0,6.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,10.0,0.0
12060,25000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12686,1600000.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,17.0,5.0
2169,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6149,200000.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
6154,925000.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,27.0,1.0
10510,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12353,800000.0,28.0,0.0,0.0,0.0,2.0,0.0,25.0,0.0,1.0,11.0,8.0
6228,350000.0,19.0,0.0,0.0,0.0,0.0,2.0,50.0,5.0,0.0,16.0,39.0
492,3500000.0,16.0,1.0,3.0,3.0,2.0,2.0,36.0,0.0,2.0,33.0,1.0
269,70000000.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
6275,500000.0,39.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,8.0,4.0
4629,15000000.0,36.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,24.0,1.0
3211,700000.0,12.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0
4420,4000000.0,76.0,7.0,3.0,9.0,7.0,2.0,21.0,0.0,3.0,32.0,3.0
10425,50000.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,7.0
