ranking,club name ,country,point score,1 year change,previous point scored,symbol change
1662,Alianza Universidad Huanuco,Peru,1283,759,1357,-
2235,Alkali Nassara,Niger,1242,36,1242,-
2656,Alki,Cyprus,1194,14,1194,-
1506,Alki Oroklinis,Cyprus,1296,20,1296,-
556,All Boys,Argentina,1422,2,1422,-
406,Almería,Spain,1459,7,1459,-
2514,Alpha United,Guyana,1219,22,1219,-
1184,Altay S.K.,Turkey,1327,229,1350,-
1232,Aluminij,Slovenia,1322,249,1349,-
1155,Aluminium Arak,Iran,1329,91,1321,+
1464,Aluminium Hormozgan,Iran,1299,23,1299,-
346,Always Ready,Bolivia,1476,67,1456,+
883,AmaZulu FC,South Africa,1361,51,1367,-
156,América,Mexico,1567,38,1601,-
506,América de Cali,Colombia,1433,205,1496,-
102,América Mineiro,Brazil,1616,358,1444,+
1355,Amicale FC,Vanuatu,1308,5,1308,-
2003,Amidaus Professionals FC,Ghana,1255,5,1255,-
538,Amiens SC,France,1426,2,1426,-
604,Amkar Perm',Russia,1411,8,1411,-
2540,Anagennisi Deryneia,Cyprus,1216,18,1216,-
2740,Andijon,Uzbekistan,1163,3,1166,-
475,Angers,France,1440,121,1474,-
475,Angers,France,1440,121,1474,-
1354,Ankaragücü,Turkey,1308,194,1328,-
2036,Ankaran Hrvatini,Slovenia,1254,10,1254,-
1144,Annaba,Algeria,1330,1,1330,-
252,Anorthosis,Cyprus,1520,16,1507,+
509,Antigua Guatemala,Guatemala,1433,272,1373,+
1632,AOK Kerkyra,Greece,1286,9,1286,-
1089,Apejes de Mfou,Cameroon,1337,253,1367,-
2168,APEP,Cyprus,1246,44,1246,-
217,APOEL Nicosia,Cyprus,1538,7,1536,+
119,Apollon Limassol,Cyprus,1598,12,1610,-
2568,Apollon Smyrnis,Greece,1213,497,1252,-
2057,APOP / Kinyras,Cyprus,1253,5,1253,-
1051,Árabe Unido,Panama,1341,218,1367,-
1462,Aragua FC,Venezuela,1299,38,1301,-
2121,Ararat-Armenia FC,Armenia,1249,42,1249,-
2219,Araz PFK,Azerbaijan,1243,38,1243,-
2022,Arcahaie FC,Haiti,1254,4,1254,-
2724,Ards,Northern Ireland,1174,2,1174,-
817,Arema,Indonesia,1371,183,1346,+
214,Argentinos Juniors,Argentina,1539,74,1578,-
868,Argeș Pitești,Romania,1364,188,1341,+
971,Aris Limassol,Cyprus,1350,872,1267,+
317,Aris Thessaloniki FC,Greece,1488,17,1485,+
1018,Arles,France,1344,4,1344,-
2271,Armed Forces,Singapore,1240,39,1240,-
1822,Army United,Thailand,1269,8,1269,-
1377,Arnett Gardens,Jamaica,1304,4,1306,-
845,Arouca,Portugal,1367,99,1382,-
2733,Arrows,India,1168,2,1171,-
13,Arsenal,England,1836,21,1736,+
546,Arsenal de Sarandí,Argentina,1424,217,1486,-
805,Arsenal Tula,Russia,1374,164,1402,-
2623,Art Municipal Jalapa,Nicaragua,1203,84,1218,-
1344,AS Aïn M'lila,Algeria,1308,317,1344,-
2332,AS Avenir de Tombouctou,Mali,1235,43,1235,-
1986,AS Bamako,Mali,1257,17,1257,-
2491,AS Eliwidj FC,Mali,1221,25,1221,-
774,AS Fortuna,Cameroon,1379,64,1366,+
2125,AS Kasserine,Tunisia,1249,39,1249,-
1727,AS Korofina,Mali,1277,2,1277,-
2522,AS Lossi,New Caledonia,1218,23,1218,-
1113,AS Magenta,New Caledonia,1334,1,1334,-
1770,AS Matelots,Cameroon,1272,2,1272,-
2174,AS Nianan,Mali,1246,43,1246,-
740,AS Nika,Congo DR,1385,16,1385,-
2098,AS Nyuki de Butembo,Denmark,1250,1,1250,-
2079,AS Police,Mali,1251,0,1251,-
2039,AS Puma Generaleňa,Costa Rica,1254,10,1254,-
589,AS Réal Bamako,Mali,1415,5,1415,-
943,AS Rejiche,Tunisia,1353,153,1336,+
1868,AS Salé,Morocco,1266,13,1266,-
1199,AS Slimane,Tunisia,1325,70,1318,+
1263,AS Tanda,Ivory Coast,1319,33,1322,-
1973,AS-FAN,Niger,1259,17,1259,-
483,Asante Kotoko,Ghana,1439,53,1427,+
483,Asante Kotoko,Ghana,1439,53,1427,+
241,ASD Spezia Calcio 2008,Italy,1526,32,1505,+
402,ASEC Mimosas,Ivory Coast,1460,45,1447,+
1297,ASGNN,Niger,1315,0,1315,-
893,Ashanti Gold FC,Ghana,1359,218,1394,-
1562,ASI D'Abengourou,Ivory Coast,1290,185,1305,-
2285,ASM Oran,Algeria,1239,43,1239,-
941,ASO Chlef,Algeria,1353,228,1328,+
1382,Asoc. Dep. y Rec. Jicaral Sercoba,Costa Rica,1304,297,1337,-
832,Asociación Deportiva Tarma (ADT),Peru,1369,123,1350,+
1474,Assyriska,Sweden,1298,19,1298,-
459,Asteras Tripolis,Greece,1444,19,1440,+
459,Asteras Tripolis,Greece,1444,19,1440,+
73,Aston Villa,England,1656,39,1604,+
681,Astra Ploieşti,Romania,1395,181,1433,-
1073,Astres FC de Douala,Cameroon,1338,7,1338,-
2351,Aswan FC,Egypt,1233,634,1278,-
2176,Asyut Petrol,Egypt,1246,43,1246,-
25,Atalanta,Italy,1780,17,1862,-
2601,Atar Club,Mali,1207,16,1207,-
1816,Atenas,Uruguay,1269,9,1269,-
1801,Atheltic Club Port of Spain,Trinidad and Tobago,1270,6,1270,-
50,Athletic Bilbao,Spain,1694,8,1679,+
1869,Athlone Town,Ireland,1266,13,1266,-
614,Atlanta United FC,United States,1409,11,1409,-
1201,Atlante,Mexico,1325,10,1325,-
306,Atlas,Mexico,1494,437,1382,+
1907,Atlético Balboa,El Salvador,1263,10,1263,-
2242,Atlético Chiriquí,Panama,1242,212,1227,+
1430,Atlético Choloma,Honduras,1301,0,1301,-
1800,Atlético de Kolkata,India,1270,6,1270,-
2191,Atlético do Namibe,Angola,1245,43,1245,-
2485,Atlético El Vigía,Venezuela,1222,25,1222,-
97,Atlético Goianiense,Brazil,1621,72,1557,+
1668,Atlético Huila,Colombia,1283,637,1344,-
9,Atlético Madrid,Spain,1876,4,1842,+
2539,Atlético Marte,El Salvador,1217,48,1213,+
17,Atlético Mineiro,Brazil,1806,51,1654,+
169,Atlético Nacional,Colombia,1561,1,1557,+
331,Atletico Petro Luanda,Angola,1482,266,1410,+
108,Atlético PR,Brazil,1608,37,1653,-
565,Atlético Rafaela,Argentina,1420,1,1420,-
784,Atlético San Luis,Mexico,1376,367,1329,+
2452,Atletico Socopo,Venezuela,1225,24,1225,-
1866,Atlético Sport Aviação,Angola,1266,12,1266,-
615,Atlético Tucumán,Argentina,1409,372,1522,-
1872,Atlético Venezuela,Venezuela,1265,101,1257,+
2556,Atlético Veragüense,Panama,1215,21,1215,-
875,Atromitos,Greece,1362,189,1392,-
1666,Åtvidaberg,Sweden,1283,4,1283,-
1646,Atyrau,Kazakhstan,1285,11,1284,+
496,Aucas,Ecuador,1434,84,1416,+
496,Aucas,Ecuador,1434,84,1416,+
140,Auckland City,New Zealand,1582,4,1582,-
606,Audax Italiano La Florida,Chile,1411,41,1420,-
141,Augsburg,Germany,1581,133,1505,+
1809,Aurora,Bolivia,1270,178,1256,+
1338,Austin FC,Uruguay,1310,426,1356,-
2578,Austria Kärnten,Austria,1211,17,1211,-
576,Austria Wien,Austria,1417,137,1387,+
397,Auxerre,France,1461,3,1461,-
953,Avaí FC,Brazil,1352,13,1352,-
1314,Avenir de La Marsa,Tunisia,1312,11,1312,-
1463,Avion Fc Du Nkam,Cameroon,1299,235,1280,+
1331,Avispa Fukuoka,Japan,1310,891,1245,+
661,Ayacucho FC,Peru,1398,220,1449,-
2720,Ayia Napa,Cyprus,1175,1,1175,-
63,AZ Alkmaar,Netherlands,1675,12,1698,-
1456,AZAL PFC Baku,Azerbaijan,1299,27,1299,-
2127,Azam,Tanzania,1249,40,1249,-
1778,Ba,Fiji,1272,1,1272,-
2340,Babeti ya Sika,Congo DR,1234,42,1234,-
186,Bahia,Brazil,1548,2,1548,-
1367,Bakaridjan de Barouéli,Mali,1306,4,1306,-
1148,Bakı,Azerbaijan,1330,2,1330,-
471,Bala Town FC,Wales,1441,20,1436,+
471,Bala Town FC,Wales,1441,20,1436,+
807,Bali United,Indonesia,1373,299,1334,+
1207,Balıkesirspor,Turkey,1325,12,1325,-
2687,Ballinamallard United,Northern Ireland,1187,9,1187,-
1894,Ballymena United,Northern Ireland,1264,159,1253,+
1289,Balmazújváros,Hungary,1316,2,1316,-
679,Bamboutos,Cameroon,1396,142,1368,+
362,Banfield,Argentina,1471,20,1480,-
2701,Banga Gargzdai,Lithuania,1182,8,1182,-
517,Bangkok United,Thailand,1431,15,1428,+
511,Bangor City,Wales,1432,8,1432,-
303,Baník Ostrava,Czech Republic,1495,80,1465,+
938,Baniyas,United Arab Emirates,1353,18,1355,-
2431,Bantous,Congo DR,1227,26,1227,-
2395,Bantu Rovers,Zimbabwe,1230,29,1230,-
2628,Barbican FC,Jamaica,1203,11,1203,-
6,Barcelona,Spain,1931,0,1918,+
131,Barcelona SC,Ecuador,1589,42,1627,-
668,Bari,Italy,1398,7,1398,-
1870,Barito Putera,Indonesia,1266,69,1270,-
1856,Barnechea,Chile,1267,17,1267,-
1963,Baroka FC,South Africa,1259,298,1283,-
1534,Barrio México,Costa Rica,1292,31,1292,-
1472,Barry Town United FC,Wales,1298,262,1324,-
103,BATE Borisov,Belarus,1615,7,1608,+
1282,Bayamón FC,Puerto Rico,1316,1,1316,-
1498,Bayelsa United,Nigeria,1296,20,1296,-
27,Bayer Leverkusen,Germany,1773,17,1714,+
1,Bayern München,Germany,2045,0,2057,-
2674,BBCU FC,Thailand,1190,12,1190,-
1413,Bechem United,Ghana,1302,233,1285,+
466,Beijing Guoan,China PR,1442,228,1525,-
466,Beijing Guoan,China PR,1442,228,1525,-
2310,Beijing Renhe,China PR,1237,47,1237,-
1027,Beira-Mar,Portugal,1343,7,1343,-
961,Beitar Jerusalem FC,Israel,1351,417,1425,-
2618,Bekaa SC,Lebanon,1203,13,1203,-
1731,Bekescsaba,Hungary,1276,4,1276,-
1756,Bełchatów,Poland,1274,2,1274,-
1605,Belén Siglo XXI,Costa Rica,1287,19,1287,-
908,Belenenses,Portugal,1358,321,1414,-
354,Belgrano,Argentina,1474,1,1474,-
1133,Bella Vista,Uruguay,1331,5,1331,-
2307,Bellinzona,Switzerland,1237,47,1237,-
1897,Belshina Bobruisk,Belarus,1264,74,1268,-
746,Ben Guerdane,Tunisia,1384,37,1373,+
1296,Bendel Insurance,Nigeria,1315,2,1315,-
620,Benevento,Italy,1408,105,1430,-
19,Benfica,Portugal,1797,6,1757,+
981,Benfica Luanda,Angola,1349,0,1349,-
950,Bengaluru FC,India,1353,12,1353,-
1891,Béni-Khalled,Tunisia,1264,9,1264,-
2722,Berane,Montenegro,1174,2,1174,-
1948,Berekum Arsenal,Ghana,1260,15,1260,-
997,Berekum Chelsea FC,Ghana,1346,96,1358,-
462,Beroe,Bulgaria,1444,127,1483,-
462,Beroe,Bulgaria,1444,127,1483,-
257,Beşiktaş,Turkey,1518,169,1628,-
2752,BFC Daugavpils,Latvia,1144,4,1140,+
405,BG Pathum United,Thailand,1459,82,1438,+
912,Bhayangkara FC,Indonesia,1357,199,1334,+
2104,Bibiani Gold Stars F.C.,Ghana,1250,7,1250,-
436,Bidvest Wits,South Africa,1451,3,1451,-
2202,Binh Duong,Vietnam,1244,41,1244,-
295,Birmingham City,England,1498,2,1498,-
456,BK Häcken,Sweden,1444,72,1465,-
456,BK Häcken,Sweden,1444,72,1465,-
2582,Black Leopards,South Africa,1209,76,1197,+
1798,Black Mambas,Zimbabwe,1270,6,1270,-
1930,Black Rhinos,Zimbabwe,1261,110,1253,+
407,Blackburn Rovers F.C.,England,1459,7,1459,-
370,Blackpool,England,1469,1,1469,-
1955,Blessing FC,Congo DR,1260,129,1251,+
1097,Bloemfontein Celtic,South Africa,1336,8,1336,-
1126,Blooming,Bolivia,1332,114,1345,-
1194,Bnei Sakhnin,Israel,1326,472,1283,+
1011,Bnei Yehuda Tel Aviv FC,Israel,1345,33,1342,+
458,Boavista,Portugal,1444,98,1422,+
458,Boavista,Portugal,1444,98,1422,+
68,Boca Juniors,Argentina,1668,38,1745,-
152,Bochum,Germany,1571,472,1405,+
136,Bodø / Glimt,Norway,1585,110,1521,+
528,Bohemian FC,Ireland,1429,9,1427,+
771,Bohemians 1905,Czech Republic,1379,282,1437,-
245,Bolívar,Bolivia,1525,33,1503,+
198,Bologna,Italy,1543,71,1589,-
1489,Bolognesi,Peru,1297,19,1297,-
350,Bolton Wanderers,England,1475,1,1475,-
2523,Bontang PKT,Indonesia,1218,23,1218,-
714,Borac Banja Luka,Bosnia and Herzegovina,1391,92,1370,+
2517,Borac Čačak,Serbia,1218,24,1218,-
584,Bordeaux,France,1416,153,1451,-
21,Borussia Dortmund,Germany,1792,4,1821,-
113,Borussia Mönchengladbach,Germany,1605,72,1717,-
618,Boston River,Uruguay,1408,383,1346,+
1179,Botafogo FC,Cameroon,1327,3,1327,-
773,Botafogo RJ,Brazil,1379,15,1379,-
533,Botev Plovdiv,Bulgaria,1427,208,1382,+
1555,Botev Vratsa,Bulgaria,1291,229,1312,-
658,Botoşani,Romania,1399,25,1403,-
1881,Bouaké FC,Ivory Coast,1265,17,1265,-
690,Boulogne,France,1394,19,1394,-
1406,Boyacá Chicó FC,Colombia,1302,1,1302,-
2728,Boys' Town,Jamaica,1172,2,1172,-
75,Braga,Portugal,1655,12,1630,+
404,Brasilia,Brazil,1459,7,1459,-
1156,Braşov,Romania,1329,2,1329,-
2308,Bray Wanderers,Ireland,1237,48,1237,-
142,Brentford FC,England,1580,146,1500,+
794,Brescia,Italy,1375,21,1375,-
276,Brest,France,1509,60,1483,+
179,Brighton & Hove Albion,England,1554,45,1585,-
1400,Brisbane Roar FC,Australia,1303,168,1322,-
2648,Brommapojkarna,Sweden,1197,11,1197,-
365,Brøndby,Denmark,1471,26,1482,-
2632,Brong Ahafo Stars,Ghana,1201,13,1201,-
1342,Brujas,Costa Rica,1309,8,1309,-
1946,BSK Borča,Serbia,1260,15,1260,-
1535,Bucaspor,Turkey,1292,31,1292,-
2090,Budafoki MTE,Hungary,1250,146,1259,-
383,Budućnost,Montenegro,1466,35,1476,-
1898,Buffaloes FC,Zimbabwe,1263,11,1263,-
1928,Buildcon,Zambia,1261,84,1255,+
2303,Bukavu Dawa,Congo DR,1237,47,1237,-
1210,Bukola Babes,Nigeria,1325,13,1325,-
2189,Bulawayo Chiefs,Zimbabwe,1245,93,1250,-
2297,Bulawayo City FC,Zimbabwe,1238,202,1250,-
600,Bunyodkor Tashkent,Uzbekistan,1411,6,1409,+
235,Buriram United,Thailand,1529,9,1521,+
159,Burnley,England,1564,80,1640,-
785,Bursaspor,Turkey,1376,18,1376,-
1350,Busan I'Park,South Korea,1308,6,1308,-
2490,Buxoro,Uzbekistan,1221,25,1221,-
1332,C.A. Cerro,Uruguay,1310,4,1310,-
1684,C.D. Hermanos Colmenarez,Venezuela,1281,379,1252,+
2412,C.D. Honduras Progreso,Honduras,1229,120,1220,+
2101,C.D. Lunda Sul,Angola,1250,4,1250,-
2017,CA Batna,Algeria,1255,7,1255,-
1032,CA Bizertin,Tunisia,1343,264,1315,+
2494,CA Bordj Bou Arreridj,Algeria,1221,87,1232,-
356,CA Central Cordoba,Argentina,1473,13,1469,+
1081,CA Palmaflor,Bolivia,1338,7,1336,+
1941,Cabinda,Angola,1260,13,1260,-
167,Cádiz CF,Spain,1561,1,1559,+
694,Caen,France,1394,20,1394,-
1519,Caernarfon,Wales,1294,161,1281,+
2655,Caersws,Wales,1195,14,1195,-
298,Cagliari,Italy,1497,59,1524,-
2738,Caguas Huracán,Puerto Rico,1165,2,1165,-
1527,Caïman Douala,Cameroon,1293,25,1293,-
2505,Caledonia AIA,Trinidad and Tobago,1220,23,1220,-
1049,Cambuur,Netherlands,1341,567,1288,+
2047,Canon Buromeca,Congo DR,1253,10,1253,-
1082,Canon Sportif,Cameroon,1337,264,1309,+
1099,Canterbury United,New Zealand,1336,5,1336,-
1544,Capaco,Congo DR,1292,29,1292,-
735,Cape Town City FC,South Africa,1386,3,1383,+
751,CAPS United,Zimbabwe,1384,42,1388,-
1209,Carabobo FC,Venezuela,1325,12,1323,+
508,Caracas,Venezuela,1433,45,1423,+
357,Cardiff City,England,1472,6,1472,-
1177,Cardiff Met University,Wales,1327,124,1315,+
732,Carlos A. Mannucci,Peru,1387,142,1413,-
1729,Carmarthen,Wales,1277,3,1277,-
2634,Carolina Gigantes,Puerto Rico,1201,13,1201,-
2595,Caroní,Venezuela,1208,18,1208,-
236,Carpi,Italy,1528,6,1528,-
